Source Node    	Target Node    	Interaction Source	Interaction Type
NEFL	FAM84A	Bayes	Directed
NEFL	TOMM20	Bayes	Directed
NEFL	CIDEA	Bayes	Directed
NEFL	KCTD8	Bayes	Directed
NEFL	YWHAH	Bayes	Directed
HSS00299143	CCDC8	Bayes	Directed
HSS00299143	DEFB107B	Bayes	Directed
HSS00299143	MMP25	Bayes	Directed
FZD5	RFWD3	Bayes	Directed
FZD5	TET1	Bayes	Directed
FZD5	MAD2L2	Bayes	Directed
EGR1	NR4A3	Bayes	Directed
EGR1	AK058002	Bayes	Directed
EGR1	EGR2	Bayes	Directed
EGR1	NR4A1	Bayes	Directed
NCKAP1L	DEF6	Bayes	Directed
NCKAP1L	CD74	Bayes	Directed
NCKAP1L	PTAFR	Bayes	Directed
NCKAP1L	APBB1IP	Bayes	Directed
NCKAP1L	ITGB2	Bayes	Directed
NCKAP1L	KCNQ1	Bayes	Directed
NCKAP1L	AIF1	Bayes	Directed
NCKAP1L	IKZF1	Bayes	Directed
HSG00261212	126520	Bayes	Directed
HSG00261212	SNORD56	Bayes	Directed
FXYD1	ATP1B2	Bayes	Directed
FXYD1	NTSR2	Bayes	Directed
FXYD1	FGFR3	Bayes	Directed
CXCL13	282706	Bayes	Directed
CXCL13	AK093510	Bayes	Directed
CXCL13	APOL4	Bayes	Directed
BASP1	NPTX1	Bayes	Directed
BASP1	STXBP1	Bayes	Directed
BASP1	TUBA1B	Bayes	Directed
HLX	SLC19A3	Bayes	Directed
MYH11	PLN	Bayes	Directed
MYH11	ITGA8	Bayes	Directed
MYH11	ACTA2	Bayes	Directed
MYH11	CASQ2	Bayes	Directed
MYH11	Contig16043_RC	Bayes	Directed
MYH11	Contig44568_RC	Bayes	Directed
C14orf24	BC040538	Bayes	Directed
Contig36931_RC	TMTC2	Bayes	Directed
TBC1D23	RHOXF1	Bayes	Directed
TBC1D23	SLC30A4	Bayes	Directed
ERBB2IP	DBI	Bayes	Directed
ERBB2IP	VCAN	Bayes	Directed
HPN	TSGA10	Bayes	Directed
HPR	HP	Bayes	Directed
AK001150	AK021634	Bayes	Directed
RBBP5	HSG00420563	Bayes	Directed
RBBP5	RIPK5	Bayes	Directed
HSG00416347	HSG00429036	Bayes	Directed
HSG00416347	KCNJ2	Bayes	Directed
HSG00416347	FMNL2	Bayes	Directed
HSG00416347	TLE4	Bayes	Directed
HSG00416347	LPCAT2	Bayes	Directed
HSG00416347	OMA1	Bayes	Directed
HSG00416347	IFIT2	Bayes	Directed
HSG00416347	STXBP3	Bayes	Directed
AF056451	79804	Bayes	Directed
AF056451	hCT1834395.2	Bayes	Directed
AF056451	399815	Bayes	Directed
FOXQ1	441478	Bayes	Directed
DEF6	SLC37A2	Bayes	Directed
HSS00006500	256676	Bayes	Directed
HSS00006500	HHLA1	Bayes	Directed
AOC3	CCL19	Bayes	Directed
AOC3	S100A4	Bayes	Directed
MAGT1	RRBP1	Bayes	Directed
MAGT1	AK021572	Bayes	Directed
Contig37978_RC	BC040662	Bayes	Directed
CREG2	KIF3A	Bayes	Directed
SCIN	LIPG	Bayes	Directed
hCT2297346	FAM89A	Bayes	Directed
hCT2297346	RELL1	Bayes	Directed
ZKSCAN1	440731	Bayes	Directed
ZKSCAN1	HSS00366507	Bayes	Directed
PDLIM7	COL14A1	Bayes	Directed
PDLIM7	AK058147	Bayes	Directed
AK021771	RP11-144G6.7	Bayes	Directed
PFN2	TENC1	Bayes	Directed
CPT2	Contig32137_RC	Bayes	Directed
CPT2	85001	Bayes	Directed
Contig20600_RC	NFIC	Bayes	Directed
Contig20600_RC	WASH6P	Bayes	Directed
Contig20600_RC	UBQLNL	Bayes	Directed
Contig20600_RC	HSS00061138	Bayes	Directed
C1orf38	286076	Bayes	Directed
C20orf141	GFAP	Bayes	Directed
RBP4	ASCL5	Bayes	Directed
RBP4	GPR120	Bayes	Directed
RBP4	441052	Bayes	Directed
RBP4	PRKCD	Bayes	Directed
AL157458	AK023336	Bayes	Directed
AL157458	Contig18967_RC	Bayes	Directed
AL157458	Contig67077_RC	Bayes	Directed
AL157458	AF007137	Bayes	Directed
SMTNL2	HSG00357900	Bayes	Directed
MBNL2	TBC1D23	Bayes	Directed
MBNL2	CCDC132	Bayes	Directed
MBNL2	PLEKHA1	Bayes	Directed
MBNL2	PHCA	Bayes	Directed
MBNL2	13-Sep	Bayes	Directed
MBNL2	HLTF	Bayes	Directed
TMEM176B	GLIS3	Bayes	Directed
TMEM176B	TMEM176A	Bayes	Directed
TMC6	LSS	Bayes	Directed
TMC6	USP54	Bayes	Directed
hCT1832870.2	C1orf80	Bayes	Directed
hCT1832870.2	AK054946	Bayes	Directed
hCT1832870.2	APBB2	Bayes	Directed
SNAP91	PIK3CB	Bayes	Directed
AF086394	Contig47262_RC	Bayes	Directed
TTLL7	KCTD4	Bayes	Directed
TTLL7	HSS00337177	Bayes	Directed
ELAVL4	KCNA1	Bayes	Directed
ELAVL4	GABRB2	Bayes	Directed
ELAVL4	54715	Bayes	Directed
ELAVL4	GSTP1	Bayes	Directed
ELAVL4	26034	Bayes	Directed
XM_092681	hCT28230.2	Bayes	Directed
DBNDD2	ANGPTL2	Bayes	Directed
DBNDD2	285796	Bayes	Directed
DBNDD2	RHBDL2	Bayes	Directed
SLC25A33	AK055100	Bayes	Directed
57240	157278	Bayes	Directed
IL1RL1	C22orf34	Bayes	Directed
HSS00374184	HSS00169118	Bayes	Directed
AK023947	AL832567	Bayes	Directed
AK023947	AK054922	Bayes	Directed
AK023947	AK026402	Bayes	Directed
AK023947	GDPD1	Bayes	Directed
AK023947	AK024979	Bayes	Directed
EIF5A	ENST00000301629	Bayes	Directed
CDK2	GPR4	Bayes	Directed
CDK2	CHEK2	Bayes	Directed
CDK2	YAP1	Bayes	Directed
CDK2	GABRE	Bayes	Directed
CDK2	WEE1	Bayes	Directed
CDK2	DSE	Bayes	Directed
CDK2	LATS2	Bayes	Directed
CDK2	SERPINA1	Bayes	Directed
CDK2	EFNA4	Bayes	Directed
TDRD10	XM_211811	Bayes	Directed
XM_172531	IMPDH2	Bayes	Directed
FAM132B	TMEM158	Bayes	Directed
VASP	ARID5A	Bayes	Directed
ATP6V1B2	TOMM20	Bayes	Directed
HSS00337596	AK092087	Bayes	Directed
AL049435	IFNGR1	Bayes	Directed
AL049435	SDPR	Bayes	Directed
NT5DC1	SYNJ2	Bayes	Directed
RAP1B	NOC3L	Bayes	Directed
RAP1B	HSG00357150	Bayes	Directed
DOK3	TUSC5	Bayes	Directed
DOK3	HAPLN3	Bayes	Directed
DOK3	AK055445	Bayes	Directed
SLC6A11	AF070565	Bayes	Directed
CORT	DRD5	Bayes	Directed
ECEL1P2	AK091917	Bayes	Directed
hCT1965525.1	CPN2	Bayes	Directed
hCT1965525.1	AK022206	Bayes	Directed
CYBRD1	SLC2A12	Bayes	Directed
Contig40239_RC	AK056146	Bayes	Directed
CNTN5	hCT1816147.1	Bayes	Directed
STON2	RAB31	Bayes	Directed
STON2	GPT2	Bayes	Directed
STON2	AKR1C3	Bayes	Directed
STON2	HSS00382749	Bayes	Directed
C13orf33	GPRC5A	Bayes	Directed
C13orf33	THBS1	Bayes	Directed
RPS6KA5	POMC	Bayes	Directed
AK055564	GPRC5A	Bayes	Directed
U79293	AK024999	Bayes	Directed
U79293	AL360204	Bayes	Directed
GAGE6	PPP1R3F	Bayes	Directed
GAGE6	GAGE5	Bayes	Directed
DDIT3	SDSL	Bayes	Directed
KRT15	CYP3A4	Bayes	Directed
KRT15	442117	Bayes	Directed
IL6ST	ITGB8	Bayes	Directed
IL6ST	hCT32256.3	Bayes	Directed
IL6ST	OSBPL11	Bayes	Directed
BRCA2	NTS	Bayes	Directed
CYP3A4	IL20	Bayes	Directed
CYP3A4	AF056436	Bayes	Directed
OR11A1	AK023590	Bayes	Directed
KCNAB1	387804	Bayes	Directed
POMZP3	ZP3	Bayes	Directed
643916	AK000881	Bayes	Directed
643916	HNF4A	Bayes	Directed
643916	C4BPB	Bayes	Directed
Contig47405_RC	Contig51797_RC	Bayes	Directed
Contig47405_RC	PCDH10	Bayes	Directed
Contig47405_RC	HS3ST2	Bayes	Directed
Contig47405_RC	NRG1	Bayes	Directed
MYD88	GALM	Bayes	Directed
MYD88	162073	Bayes	Directed
MYD88	NMI	Bayes	Directed
MYD88	METTL7B	Bayes	Directed
MYD88	hCT2319636	Bayes	Directed
MYD88	EMP3	Bayes	Directed
MYD88	VASN	Bayes	Directed
MYD88	PSMB8	Bayes	Directed
HSS00261661	653391	Bayes	Directed
HSS00261661	653080	Bayes	Directed
HSS00261661	Z70699	Bayes	Directed
TGFB2	HSS00289302	Bayes	Directed
DIAPH2	C1orf112	Bayes	Directed
MTMR10	hCT1782973.2	Bayes	Directed
AL049991	RBM14	Bayes	Directed
Contig10154_RC	hCT2316197	Bayes	Directed
Contig10154_RC	AK025148	Bayes	Directed
Contig10154_RC	GOLGA8A	Bayes	Directed
XM_115036	C16orf35	Bayes	Directed
XM_115036	HPRT1	Bayes	Directed
XM_115036	OXCT1	Bayes	Directed
AK057829	hCT1957935.1	Bayes	Directed
AK057829	AL390143	Bayes	Directed
AK057829	AK024952	Bayes	Directed
AK057829	AL049353	Bayes	Directed
SMYD1	KRT17	Bayes	Directed
51617	COL23A1	Bayes	Directed
51617	KIF9	Bayes	Directed
51617	BC037953	Bayes	Directed
731559	XM_068350	Bayes	Directed
731559	402117	Bayes	Directed
HHIP	729658	Bayes	Directed
HHIP	HSS00001972	Bayes	Directed
C1orf198	TAX1BP3	Bayes	Directed
C1orf198	FNBP1	Bayes	Directed
C1orf198	TRAF4	Bayes	Directed
C1orf198	DDR1	Bayes	Directed
C1orf198	SH3PXD2B	Bayes	Directed
PGGT1B	MDFIC	Bayes	Directed
CD302	DDR2	Bayes	Directed
CD302	LPP	Bayes	Directed
CD302	CYBRD1	Bayes	Directed
CD302	EPS8	Bayes	Directed
CD302	Contig57822_RC	Bayes	Directed
TNFRSF10D	RUNX3	Bayes	Directed
TNFRSF10D	154761	Bayes	Directed
TNFRSF10D	647275	Bayes	Directed
TNFRSF10D	AF086069	Bayes	Directed
TNFRSF10D	MLKL	Bayes	Directed
C3	MYO1F	Bayes	Directed
C3	TLR10	Bayes	Directed
C3	ADORA3	Bayes	Directed
DBI	FABP5L1	Bayes	Directed
DBI	THOC3	Bayes	Directed
ACRC	CUZD1	Bayes	Directed
ACRC	C7orf53	Bayes	Directed
HSS00009365	644246	Bayes	Directed
AK090760	FARSB	Bayes	Directed
LEFTY2	PITX2	Bayes	Directed
LMO3	Contig40464_RC	Bayes	Directed
TSC22D3	IGFBP3	Bayes	Directed
hCT2267594	401393	Bayes	Directed
hCT2267594	AZGP1	Bayes	Directed
CCT6A	92154	Bayes	Directed
CCT6A	84517	Bayes	Directed
HSS00008962	MS4A4A	Bayes	Directed
HSS00008962	DAB2	Bayes	Directed
C1orf90	XM_208797	Bayes	Directed
644934	hCT11784.3	Bayes	Directed
644934	hCT6710.3	Bayes	Directed
644934	hCG_2033311	Bayes	Directed
AA083497	96610	Bayes	Directed
AA083497	hCT1640121.2	Bayes	Directed
AA083497	hCT2332227	Bayes	Directed
ARHGDIB	RNASET2	Bayes	Directed
645688	ANKRD16	Bayes	Directed
645688	RPL12P1	Bayes	Directed
SFRS16	ADAM15	Bayes	Directed
SFRS16	MALAT1	Bayes	Directed
SFRS16	RRBP1	Bayes	Directed
SFRS16	AL117451	Bayes	Directed
SFRS16	EML2	Bayes	Directed
SFRS16	142937	Bayes	Directed
AL109781	CDH8	Bayes	Directed
AL109781	MCHR2	Bayes	Directed
AL109781	BTBD14A	Bayes	Directed
AL109781	NAPB	Bayes	Directed
hCT2328745	CDC2	Bayes	Directed
hCT2328745	MAD2L1	Bayes	Directed
hCT2328745	CENPE	Bayes	Directed
hCT2328745	GPR160	Bayes	Directed
SYT1	QPCT	Bayes	Directed
SYT1	ENST00000258318	Bayes	Directed
SYT1	ENST00000285289	Bayes	Directed
SYT1	MAP2K1	Bayes	Directed
SYT1	C20orf7	Bayes	Directed
SYT1	SNCA	Bayes	Directed
SYT1	CMAS	Bayes	Directed
hCT32692.2	hCT13180.2	Bayes	Directed
MVP	STAT5A	Bayes	Directed
RAI14	hCT1971273	Bayes	Directed
HOXB2	Contig45090_RC	Bayes	Directed
HOXB2	PLEKHG4B	Bayes	Directed
Contig45303_RC	SLCO1A2	Bayes	Directed
UGT8	SLC22A15	Bayes	Directed
UGT8	UGT8	Bayes	Directed
UGT8	EVI2A	Bayes	Directed
UGT8	PSEN1	Bayes	Directed
UGT8	FA2H	Bayes	Directed
UGT8	hCT1970992.1	Bayes	Directed
CREB3L2	BST1	Bayes	Directed
CREB3L2	VAMP8	Bayes	Directed
MMP23B	HSG00211107	Bayes	Directed
BC032716	USP44	Bayes	Directed
SNAP23	PITPNM3	Bayes	Directed
SNAP23	PTPN13	Bayes	Directed
SNAP23	10-Sep	Bayes	Directed
SNAP23	RBM7	Bayes	Directed
RBM18	KLHL23	Bayes	Directed
GPR62	C12orf34	Bayes	Directed
PAK6	ELL2	Bayes	Directed
PAK6	Contig53281_RC	Bayes	Directed
EIF1AY	JARID1D	Bayes	Directed
EIF1AY	HSG00313004	Bayes	Directed
EIF1AY	RPS4Y2	Bayes	Directed
MRPL19	ZNF718	Bayes	Directed
FUT9	C2orf59	Bayes	Directed
hCT1641088.2	RANBP6	Bayes	Directed
PLCB1	AK055271	Bayes	Directed
TPM2	MYL9	Bayes	Directed
hCT1831767.2	SLC6A4	Bayes	Directed
MAF	KIAA1274	Bayes	Directed
CCDC144B	HSS00303498	Bayes	Directed
GAD1	NXPH1	Bayes	Directed
GAD1	DLX1	Bayes	Directed
GAD1	SLC32A1	Bayes	Directed
GAD1	GAD2	Bayes	Directed
92154	NOTCH3	Bayes	Directed
92154	SEMA3A	Bayes	Directed
92154	SOCS2	Bayes	Directed
XM_089146	AK093976	Bayes	Directed
XM_089146	HSS00216227	Bayes	Directed
XM_089146	IGKV1D-8	Bayes	Directed
XM_089146	HDGFL1	Bayes	Directed
STXBP5L	BM710955	Bayes	Directed
STXBP5L	AI279148	Bayes	Directed
STXBP5L	OR7G3	Bayes	Directed
STXBP5L	HSG00207762	Bayes	Directed
KIF14	KIF18A	Bayes	Directed
RHOBTB3	FERMT2	Bayes	Directed
RHOBTB3	AQP4	Bayes	Directed
RHOBTB3	ASPH	Bayes	Directed
IL17RB	PAX6	Bayes	Directed
HSS00090496	AF147335	Bayes	Directed
Contig19918_RC	BC037943	Bayes	Directed
Contig19918_RC	AL713630	Bayes	Directed
Contig19918_RC	AF070602	Bayes	Directed
Contig19918_RC	AK001959	Bayes	Directed
AF147321	Contig66916_RC	Bayes	Directed
AF147321	EMILIN1	Bayes	Directed
COL4A6	ADAMTSL3	Bayes	Directed
SFRP2	IGFBP5	Bayes	Directed
HECW2	SRD5A3	Bayes	Directed
HECW2	HSS00124010	Bayes	Directed
HECW2	HSS00099763	Bayes	Directed
HECW2	C10orf107	Bayes	Directed
C18orf56	TYMS	Bayes	Directed
C18orf56	91431	Bayes	Directed
TRIM59	RASGRP3	Bayes	Directed
TRIM59	ZNF536	Bayes	Directed
TRIM59	HRASLS3	Bayes	Directed
TRIM59	DEPDC7	Bayes	Directed
GLUD2	SERPINE2	Bayes	Directed
GLUD2	ALDH1A1	Bayes	Directed
GLUD2	AGPAT3	Bayes	Directed
GLUD2	GLUD1	Bayes	Directed
TCL1B	hCT1646638.2	Bayes	Directed
TCL1B	Contig28383_RC	Bayes	Directed
XM_211862	MSX2	Bayes	Directed
HSG00518603	PCDH11X	Bayes	Directed
HSG00518603	MSH5	Bayes	Directed
HSG00518603	FSTL5	Bayes	Directed
HSG00518603	Contig38965_RC	Bayes	Directed
HSG00424675	XM_060153	Bayes	Directed
DIXDC1	ENPP6	Bayes	Directed
Contig51808_RC	TMEM16C	Bayes	Directed
Contig51808_RC	HSS00329692	Bayes	Directed
Contig51808_RC	C16orf52	Bayes	Directed
Contig51808_RC	DACH2	Bayes	Directed
HBS1L	STAT6	Bayes	Directed
HBS1L	ALDH8A1	Bayes	Directed
HBS1L	AK097074	Bayes	Directed
SPRY4	AK024556	Bayes	Directed
SPRY4	ETV5	Bayes	Directed
AL049279	6-Mar	Bayes	Directed
AL049279	hCT1769654	Bayes	Directed
AL049279	AK023526	Bayes	Directed
AL049279	C21orf34	Bayes	Directed
AL049279	X75685	Bayes	Directed
SMCR5	AF289562	Bayes	Directed
SMCR5	SLFNL1	Bayes	Directed
SMCR5	CNKSR1	Bayes	Directed
SMCR5	AK024915	Bayes	Directed
SMCR5	BM664664	Bayes	Directed
IL4R	FABP4	Bayes	Directed
HPSE2	AK021746	Bayes	Directed
STAT1	SERPINI2	Bayes	Directed
MICB	CKS2	Bayes	Directed
MICB	AK023793	Bayes	Directed
MICB	C12orf28	Bayes	Directed
440917	ENST00000297378	Bayes	Directed
440917	C8orf33	Bayes	Directed
HSS00266902	BC032716	Bayes	Directed
HSS00266902	LECT1	Bayes	Directed
PSPH	PSPHL	Bayes	Directed
SLC2A5	TLR1	Bayes	Directed
SLC2A5	SCIN	Bayes	Directed
SLC2A5	FCGR1B	Bayes	Directed
SLC2A5	RHBDF2	Bayes	Directed
SLC2A5	ADRB2	Bayes	Directed
EFHD1	Contig67249_RC	Bayes	Directed
EFHD1	C1orf198	Bayes	Directed
219848	286260	Bayes	Directed
RASAL1	TMEM151A	Bayes	Directed
IMPA2	RAB34	Bayes	Directed
IMPA2	GINS2	Bayes	Directed
KCNN3	HSS00382749	Bayes	Directed
KCNN3	Contig404	Bayes	Directed
PTPN4	C11orf46	Bayes	Directed
PTPN4	STXBP6	Bayes	Directed
PTPN4	ANKRD32	Bayes	Directed
PTPN4	ZNF252	Bayes	Directed
PTPN4	AK074580	Bayes	Directed
PTPN4	PILRB	Bayes	Directed
PTPN4	RABEP1	Bayes	Directed
PTPN4	NR1D2	Bayes	Directed
PTPN4	C17orf65	Bayes	Directed
PTPN4	KPNA3	Bayes	Directed
PTPN4	ZNF389	Bayes	Directed
MUSTN1	ITIH5	Bayes	Directed
MUSTN1	WTIP	Bayes	Directed
HSG00461022	440589	Bayes	Directed
HSG00461022	hCT2336005	Bayes	Directed
HSG00461022	hCT10059.2	Bayes	Directed
HSG00461022	256355	Bayes	Directed
HSG00461022	hCT2330469	Bayes	Directed
HSG00461022	RPS2	Bayes	Directed
FAM19A1	PTPRO	Bayes	Directed
FAM19A1	RP3-398D13.1	Bayes	Directed
FAM19A1	DGKB	Bayes	Directed
FAM19A1	PTPRR	Bayes	Directed
ORC1L	IL28RA	Bayes	Directed
ORC1L	EZH2	Bayes	Directed
SERPINB1	Contig48944_RC	Bayes	Directed
MXRA8	FBLN1	Bayes	Directed
MXRA8	COL6A2	Bayes	Directed
MXRA8	COPZ2	Bayes	Directed
OR6T1	AF050199	Bayes	Directed
OR6T1	HRASLS5	Bayes	Directed
NFIC	COG5	Bayes	Directed
NFIC	KLHL34	Bayes	Directed
XM_172222	BX537891	Bayes	Directed
TRPM7	HSS00344378	Bayes	Directed
344148	AK057829	Bayes	Directed
344148	Contig12727_RC	Bayes	Directed
MMD	AL832540	Bayes	Directed
MMD	SPSB2	Bayes	Directed
MMD	ZNF654	Bayes	Directed
CD84	CLEC9A	Bayes	Directed
HSDL2	GLUD1	Bayes	Directed
PLOD3	AF143876	Bayes	Directed
PLOD3	CNNM3	Bayes	Directed
PLOD3	SLC22A23	Bayes	Directed
PLOD3	ENST00000300223	Bayes	Directed
ENST00000355444	COX2	Bayes	Directed
ENST00000355444	AK055861	Bayes	Directed
441478	HSS00380372	Bayes	Directed
GSN	CREB3L2	Bayes	Directed
GSN	84752	Bayes	Directed
GSN	MYLK	Bayes	Directed
TRIM48	hCT2265402	Bayes	Directed
TAGAP	OR11A1	Bayes	Directed
TAGAP	HSS00018291	Bayes	Directed
TAGAP	HSS00020549	Bayes	Directed
SESN3	TMTC1	Bayes	Directed
SESN3	ARHGAP19	Bayes	Directed
UPP1	AF088019	Bayes	Directed
EPSTI1	TRIM22	Bayes	Directed
EPSTI1	MX2	Bayes	Directed
CHST6	RBM28	Bayes	Directed
CHST6	MATN2	Bayes	Directed
CHST6	PSMC3IP	Bayes	Directed
AK001099	HSS00001419	Bayes	Directed
MAP2K1	NIPSNAP3B	Bayes	Directed
SLC22A6	Contig39710_RC	Bayes	Directed
SLC22A6	SLC22A8	Bayes	Directed
SLC22A6	F10	Bayes	Directed
ZBTB41	728080	Bayes	Directed
FCGR2B	LILRB5	Bayes	Directed
FCGR2B	IQGAP2	Bayes	Directed
HCG18	BC029578	Bayes	Directed
MAP4K5	WDR51B	Bayes	Directed
MAP4K5	BC040538	Bayes	Directed
Contig26081_RC	HSS00291630	Bayes	Directed
SLPI	hCT1955556	Bayes	Directed
SLPI	MUC4	Bayes	Directed
KPNA5	KIAA1946	Bayes	Directed
GPR17	NEU4	Bayes	Directed
GPR17	PDGFRA	Bayes	Directed
PEG3	HSS00371094	Bayes	Directed
FCGR2A	FCGR2C	Bayes	Directed
FCGR2A	PIK3AP1	Bayes	Directed
FCGR2A	MS4A4A	Bayes	Directed
FCGR2A	LY96	Bayes	Directed
FCGR2A	KIAA1949	Bayes	Directed
FCGR2A	RGS18	Bayes	Directed
FCGR2A	Contig46244_RC	Bayes	Directed
FCGR2A	LAIR1	Bayes	Directed
FCGR2A	SLA	Bayes	Directed
FCGR2A	MS4A7	Bayes	Directed
FCGR2A	MSR1	Bayes	Directed
FCGR2A	IFI16	Bayes	Directed
FSTL1	FZD7	Bayes	Directed
FSTL1	DSE	Bayes	Directed
284454	AK023572	Bayes	Directed
NR4A3	hCT1971392.1	Bayes	Directed
NR4A3	KLF10	Bayes	Directed
NR4A3	C6orf176	Bayes	Directed
C8orf47	CDC6	Bayes	Directed
BHLHB2	ANKRD37	Bayes	Directed
MAN2A1	Contig19733_RC	Bayes	Directed
CFC1	Contig35644_RC	Bayes	Directed
CFC1	CBLN4	Bayes	Directed
CFC1	400553	Bayes	Directed
CFC1	ASB2	Bayes	Directed
730259	HSG00456635	Bayes	Directed
730259	RGPD1	Bayes	Directed
ANKRD32	23008	Bayes	Directed
Contig39226_RC	AK057150	Bayes	Directed
PTTG3	PTTG1	Bayes	Directed
PTTG3	TXNDC17	Bayes	Directed
PTTG3	PTTG2	Bayes	Directed
PTTG3	EXO1	Bayes	Directed
157869	HSS00139219	Bayes	Directed
CHD7	CDCA7L	Bayes	Directed
ATCAY	Contig436	Bayes	Directed
RSE_00000801839	HSG00509913	Bayes	Directed
FOXO4	Contig6064_RC	Bayes	Directed
PITPNB	SIAE	Bayes	Directed
PITPNB	CDK5R1	Bayes	Directed
PITPNB	XM_171512	Bayes	Directed
PITPNB	USP12	Bayes	Directed
Contig46232	C8orf5	Bayes	Directed
Contig46232	AF131777	Bayes	Directed
ECM2	OMD	Bayes	Directed
C11orf41	AJAP1	Bayes	Directed
C11orf41	C1orf97	Bayes	Directed
C11orf41	IER5	Bayes	Directed
C11orf41	HAS1	Bayes	Directed
C11orf41	440338	Bayes	Directed
C11orf41	KLHL29	Bayes	Directed
C11orf41	PRR11	Bayes	Directed
C11orf41	DPYS	Bayes	Directed
C11orf41	HESX1	Bayes	Directed
PCDH21	SPATA20	Bayes	Directed
ENST00000296815	NRK	Bayes	Directed
Contig15728_RC	KCTD16	Bayes	Directed
Contig15728_RC	KCNV1	Bayes	Directed
Contig15728_RC	PCDH19	Bayes	Directed
Contig15728_RC	ATP2B1	Bayes	Directed
hCT16752.3	HSG00430356	Bayes	Directed
HOOK2	CREBL1	Bayes	Directed
ACTR3B	KCTD1	Bayes	Directed
ACTR3B	SSTR1	Bayes	Directed
ACTR3B	C1QTNF4	Bayes	Directed
PRDM13	TRPM8	Bayes	Directed
PRDM13	U17618	Bayes	Directed
PRDM13	399821	Bayes	Directed
GIMAP1	GIMAP8	Bayes	Directed
GPR161	hCT1954345.1	Bayes	Directed
GPR161	84963	Bayes	Directed
ATP6AP2	CPT1B	Bayes	Directed
ATP6AP2	HNRNPA0	Bayes	Directed
ATP6AP2	64772	Bayes	Directed
ATP6AP2	KIFAP3	Bayes	Directed
ATP6AP2	ADSS	Bayes	Directed
ATP6AP2	ACTR2	Bayes	Directed
ATP6AP2	PTPRE	Bayes	Directed
ATP6AP2	TMEM66	Bayes	Directed
CA1	KRT1	Bayes	Directed
HSS00372064	EDN1	Bayes	Directed
LRIG3	FAT4	Bayes	Directed
LRIG3	CDH1	Bayes	Directed
SPIRE1	IKZF5	Bayes	Directed
RSE_00000153248	440917	Bayes	Directed
RSE_00000153248	RSE_00000203274	Bayes	Directed
RSE_00000153248	ENST00000295003	Bayes	Directed
TPST1	GADD45A	Bayes	Directed
220729	hCT1836727.2	Bayes	Directed
ALAS2	CA1	Bayes	Directed
ALAS2	HBD	Bayes	Directed
57722	TMEM176A	Bayes	Directed
NPTN	AK090904	Bayes	Directed
NPTN	MYT1L	Bayes	Directed
NPTN	ODZ2	Bayes	Directed
NPTN	VSNL1	Bayes	Directed
FRZB	C21orf7	Bayes	Directed
FRZB	CLIC3	Bayes	Directed
OLFM1	CAMK2N1	Bayes	Directed
OLFM1	FBXL16	Bayes	Directed
ADAMTSL1	CYP26B1	Bayes	Directed
ADAMTSL1	79827	Bayes	Directed
AK023752	DOK3	Bayes	Directed
AK093124	PAPPA	Bayes	Directed
AL832409	403340	Bayes	Directed
AL832409	729111	Bayes	Directed
NPTXR	PAK6	Bayes	Directed
GRIA3	PRKCE	Bayes	Directed
ALOX5AP	CTSS	Bayes	Directed
ALOX5AP	KCTD12	Bayes	Directed
GPR98	GLI3	Bayes	Directed
GPR98	NWD1	Bayes	Directed
HSS00223815	PPP1R3B	Bayes	Directed
HSS00223815	SLAMF8	Bayes	Directed
HSS00223815	HIST1H3D	Bayes	Directed
HSS00223815	BATF	Bayes	Directed
HSS00223815	HSG00502727	Bayes	Directed
HSS00223815	BCMO1	Bayes	Directed
HSS00223815	LIF	Bayes	Directed
RIPK4	MMP19	Bayes	Directed
RIPK4	Contig13957_RC	Bayes	Directed
400931	93429	Bayes	Directed
C8orf16	AL157458	Bayes	Directed
DNAJB4	TMEM50B	Bayes	Directed
DNAJB4	C3orf35	Bayes	Directed
DNAJB4	SMARCA1	Bayes	Directed
DNAJB4	hCT1643811.3	Bayes	Directed
DNAJB4	PDIA6	Bayes	Directed
NCF2	MNDA	Bayes	Directed
KIF1B	KCNK10	Bayes	Directed
Contig32990_RC	AK024927	Bayes	Directed
Contig32990_RC	Contig36928	Bayes	Directed
SP6	ENST00000254720	Bayes	Directed
SP6	BX537891	Bayes	Directed
SP6	MUTYH	Bayes	Directed
Contig47885_RC	IBSP	Bayes	Directed
ALG11	CCDC88A	Bayes	Directed
ALG11	NES	Bayes	Directed
PLEKHH1	MEIS1	Bayes	Directed
PLEKHH1	EFS	Bayes	Directed
PLEKHH1	KCNH8	Bayes	Directed
PLEKHH1	AK094875	Bayes	Directed
PLEKHH1	ASPA	Bayes	Directed
PLEKHH1	ST18	Bayes	Directed
PLEKHH1	FBXO7	Bayes	Directed
PLEKHH1	PDE8A	Bayes	Directed
PLEKHH1	AK022043	Bayes	Directed
PLEKHH1	FOLH1	Bayes	Directed
PLEKHH1	NEK3	Bayes	Directed
PLEKHH1	C9orf164	Bayes	Directed
PLEKHH1	C11orf9	Bayes	Directed
VASH2	KIAA1875	Bayes	Directed
HAPLN2	AK023404	Bayes	Directed
TRIM31	EEF1B2	Bayes	Directed
TRIM31	hCT1834395.2	Bayes	Directed
GABRB2	RGS17	Bayes	Directed
GABRB2	SLITRK4	Bayes	Directed
GABRB2	PPP3CA	Bayes	Directed
GABRB2	Contig14671_RC	Bayes	Directed
