Source Node    	Target Node    	Interaction Source	Interaction Type
AKT3	MAP2K4	MAPK signaling pathway	Not Directed
EGFR	PLCG1	Calcium signaling pathway	Not Directed
RASA3	H-Ras	Aspartate and asparagine metabolism	Not Directed
CAV1	FYN	Focal adhesion	Not Directed
CD80	CD28	Fatty acid oxidation II	Not Directed
CDC6	ORC6L	Cell cycle	Not Directed
IL10RB	IL22RA1	Cytokine-cytokine receptor interaction	Not Directed
PARK2	GPR37	Parkinson's disease	Not Directed
LAMC3	ITGB4	ECM-receptor interaction	Not Directed
CRY1	CSNK1D	Circadian rhythm	Not Directed
CTNNBIP1	CTNNB1	Wnt signaling pathway	Not Directed
PPARA	LPL	PPAR signaling pathway	Not Directed
ADAM10	DLL1	Urea cycle	Not Directed
ADIPOQ	SLC2A4	Type II diabetes mellitus	Not Directed
HNF1A	FOXA3	Maturity onset diabetes of the young	Not Directed
MAPK1	MKNK2	Insulin signaling pathway	Not Directed
SULT2A1	"17alpha-17-hydroxy-pregn-4-en-3,20-dione + adenosine 3'-phosphate 5'-phosphosulfate = 17alpha-17-hydroxy-pregn-4-en-3,20-dione sulfate + adenosine 3',5'-bisphosphate"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
MAP2K1	MAPK1	Long-term potentiation	Not Directed
AKT3	GSK3B	Insulin signaling pathway	Not Directed
CDK4	CSDA	Tight junction	Not Directed
GADD45G	CCNB3	Cell cycle	Not Directed
GRLF1	RHOA	Leukocyte transendothelial migration	Not Directed
EGFR	SOS1	Regulation of actin cytoskeleton	Not Directed
PPARA	APOA2	PPAR signaling pathway	Not Directed
INHBE	ACVR2A	Cytokine-cytokine receptor interaction	Not Directed
SMAD2	TFDP1	TGF-beta signaling pathway	Not Directed
SKP1	Cyclin A	Phospholipid metabolism II	Not Directed
PRKCA	SRC	GnRH signaling pathway	Not Directed
Nitric Oxide	Occludin	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
leptomycin B	CRM1	Glycolysis and gluconeogenesis	Not Directed
RBPJL	PTCRA	Notch signaling pathway	Not Directed
EPO	EPOR	Cytokine-cytokine receptor interaction	Not Directed
PTPN11	MAPK1	Renal cell carcinoma	Not Directed
PRKCA	GJA1	Gap junction	Not Directed
AKT3	BAD	ErbB signaling pathway	Not Directed
RAB23	SMO	Hedgehog signaling pathway	Not Directed
SERPINF2	PLG	Complement and coagulation cascades	Not Directed
S5AR1	"3alpha-hydroxy-4-pregnen-20-one + NAD(P)H = NAD(P)('+) + 3beta,5alpha-3-hydroxy-pregnan-20-one"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
SH2B2	CBLC	Insulin signaling pathway	Not Directed
RAC1	IQGAP2	Regulation of actin cytoskeleton	Not Directed
IRF3	CD80	Toll-like receptor signaling pathway	Not Directed
PROC	F5	Complement and coagulation cascades	Not Directed
INHBC	ACVR2A	Cytokine-cytokine receptor interaction	Not Directed
SHP	PPAR-gamma	"Alanine, serine, cysteine, threonine and glycine metabolism"	Not Directed
DCN	TGFB1	TGF-beta signaling pathway	Not Directed
ECSIT	TRAF6	MAPK signaling pathway	Not Directed
BAD	BCL2L1	Pancreatic cancer	Not Directed
PPP5C	MAP3K5	MAPK signaling pathway	Not Directed
ALPHA-PIX	Rac1	Pleckstrin homology proteins interactions. Part I	Not Directed
F2	F9	Complement and coagulation cascades	Not Directed
PPARD	UCP1	PPAR signaling pathway	Not Directed
JUP	PPARD	Acute myeloid leukemia	Not Directed
MAGI1	ACTN4	Tight junction	Not Directed
ACVR1C	DAXX	MAPK signaling pathway	Not Directed
IL6	IL6R	Cytokine-cytokine receptor interaction	Not Directed
HRAS	ARAF	Chronic myeloid leukemia	Not Directed
NEUROG3	NKX2-2	Maturity onset diabetes of the young	Not Directed
MAPK1	TSC2	mTOR signaling pathway	Not Directed
PAK1	MAP3K2	MAPK signaling pathway	Not Directed
LRP2	IHH	Hedgehog signaling pathway	Not Directed
GRB2	SOS1	ErbB signaling pathway	Not Directed
CXCL6	IL8RB	Cytokine-cytokine receptor interaction	Not Directed
"PtdIns(3,4,5)P3"	SH2B	Phospholipid metabolism II	Not Directed
VAV3	BLNK	B cell receptor signaling pathway	Not Directed
HRAS	MAPK1	Axon guidance	Not Directed
PLA2	"H(,2)O + 1-stearoyl-2-arachidonoyl-glycerol 3-phosphocholine = arachidonic acid + 1-stearoyl-glycerol 3-phosphocholine"	"A2BR signaling via G-protein beta/gamma dimer. Activation of PI3K, PLCB and PLA2"	Not Directed
CDC37	HSP90	Aspartate and asparagine metabolism	Not Directed
SULT2A1	"adenosine 3'-phosphate 5'-phosphosulfate + 3beta-3-hydroxy-pregn-5-en-20-one = adenosine 3',5'-bisphosphate + 3beta-3-hydroxy-pregn-5-en-20-one 3-sulfate"	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
AKT3	SLC2A4	Insulin signaling pathway	Not Directed
MAP3K7	MAP2K6	MAPK signaling pathway	Not Directed
ORC4L	MCM3	Cell cycle	Not Directed
PDGFC	PDGFRA	Cytokine-cytokine receptor interaction	Not Directed
ARHGEF4	Beta-catenin	Pleckstrin homology proteins interactions. Part I	Not Directed
TAS1R2	TAS1R3	Taste transduction	Not Directed
LEPR	PPARA	Adipocytokine signaling pathway	Not Directed
E2F1	RB1	Prostate cancer	Not Directed
F7	F10	Complement and coagulation cascades	Not Directed
CDH1	CDH1	Cell adhesion molecules (CAMs)	Not Directed
Collagen V	Heparin	Role of PBX in fibroblasts signaling pathways	Not Directed
CDC14C	ANAPC10	Cell cycle	Not Directed
CDC42	DIAPH3	Regulation of actin cytoskeleton	Not Directed
TNFSF14	TNFRSF14	Cytokine-cytokine receptor interaction	Not Directed
PLCG1	LAT	T cell receptor signaling pathway	Not Directed
Relaxin 1	LGR7	Gs-a Specific GPCRs  (in brain)	Not Directed
ORC5L	ORC4L	Cell cycle	Not Directed
MAD1L1	CDC20	Cell cycle	Not Directed
JAK2	IRS-2	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
Snapin	SNAP-25	Gamma-aminobutyrate (GABA) metabolism	Not Directed
MAP3K14	CHUK	Apoptosis	Not Directed
MAPK1	FOS	Colorectal cancer	Not Directed
PRL	PRLR	Neuroactive ligand-receptor interaction	Not Directed
MEKK1(MAP3K1)	MEK4(MAP2K4)	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
DVL1	GSK3B	Basal cell carcinoma	Not Directed
RAF1	BAD	Focal adhesion	Not Directed
NFAT5	PTGS2	VEGF signaling pathway	Not Directed
MALT1	BCL10	B cell receptor signaling pathway	Not Directed
PPARD	ACADL	PPAR signaling pathway	Not Directed
Rac1	RGL	Tryptophan metabolism	Not Directed
GAB2	PTPN11	Chronic myeloid leukemia	Not Directed
NFKB1	FIGF	Pancreatic cancer	Not Directed
JAM3	JAM3	Cell adhesion molecules (CAMs)	Not Directed
RASSF1	RASSF5	Non-small cell lung cancer	Not Directed
PER1	ARNTL	Circadian rhythm	Not Directed
GRB2	PTPN11	Jak-STAT signaling pathway	Not Directed
ZPK(MAP3K12)	MEK4(MAP2K4)	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
WNT3	FZD5	G12a specific GPCRs (in brain)	Not Directed
p57	Cyclin B	"Alanine, serine, cysteine, threonine and glycine metabolism"	Not Directed
NFKB1	IL12A	Toll-like receptor signaling pathway	Not Directed
LIFR	CNTFR	Cytokine-cytokine receptor interaction	Not Directed
ARAF	MAP2K1	Glioma	Not Directed
ITGB1	ITGA2	ECM-receptor interaction	Not Directed
CalDAG-GEFII	N-Ras	Pleckstrin homology proteins interactions. Part III	Not Directed
FCER1G	SYK	Natural killer cell mediated cytotoxicity	Not Directed
TP53	SFN	Cell cycle	Not Directed
ORC2L	MCM2	Cell cycle	Not Directed
G-protein alpha-q/11	PLC-beta	Phenylalanine metabolism	Not Directed
SP1	CREBBP	TGF-beta signaling pathway	Not Directed
IKBKB	NFKBIA	Toll-like receptor signaling pathway	Not Directed
DAG	CALDAG-GEFI	Pleckstrin homology proteins interactions. Part III	Not Directed
CDC45L	MCM6	Cell cycle	Not Directed
CDH5	CTNND1	Leukocyte transendothelial migration	Not Directed
WIF1	WNT16	Wnt signaling pathway	Not Directed
PDGFB	PDGFRA	Cytokine-cytokine receptor interaction	Not Directed
LIFR	IL6ST	Cytokine-cytokine receptor interaction	Not Directed
CNTF	CNTFR	Cytokine-cytokine receptor interaction	Not Directed
LYN	PRKCA	Long-term depression	Not Directed
"PtdIns(3,4,5)P3"	GAB1	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
CGA	FSHR	Neuroactive ligand-receptor interaction	Not Directed
RAPGEF3	RAP1A	Leukocyte transendothelial migration	Not Directed
CD80	CD28	Type I diabetes mellitus	Not Directed
LTA	TNFRSF1B	Cytokine-cytokine receptor interaction	Not Directed
PTTG2	ESPL1	Cell cycle	Not Directed
SH2B	APS	Phospholipid metabolism I	Not Directed
JAM3	ITGB2	Leukocyte transendothelial migration	Not Directed
ACK1	DBL	CTP/UTP metabolism	Not Directed
MAP2K6	MAPK14	MAPK signaling pathway	Not Directed
IL11	IL6ST	Cytokine-cytokine receptor interaction	Not Directed
SMAD4	SMAD2	TGF-beta signaling pathway	Not Directed
MAP3K7IP1	MAP2K3	Toll-like receptor signaling pathway	Not Directed
E2F1	RB1	Small cell lung cancer	Not Directed
NCF2	NCF1	Leukocyte transendothelial migration	Not Directed
GRB2	SOS1	Acute myeloid leukemia	Not Directed
Caspase-3	Caspase-2	Cholesterol metabolism III. Biosynthesis of bile acid	Not Directed
SMAD1	SMAD4	TGF-beta signaling pathway	Not Directed
CD247	NCR1	Natural killer cell mediated cytotoxicity	Not Directed
G-protein alpha-q/11	PLC-beta	Tyrosine metabolism	Not Directed
RAF1	MAP2K1	GnRH signaling pathway	Not Directed
RAC1	BAIAP2	Regulation of actin cytoskeleton	Not Directed
"PtdIns(3,4,5)P3"	ALPHA-PIX	Pleckstrin homology proteins interactions. Part I	Not Directed
MAPK1	SMAD2	TGF-beta signaling pathway	Not Directed
ONECUT1	PDX1	Maturity onset diabetes of the young	Not Directed
RPS6KA6	ATF4	MAPK signaling pathway	Not Directed
CDKN1B	CDK2	Small cell lung cancer	Not Directed
CCL22	CCR4	Cytokine-cytokine receptor interaction	Not Directed
MICB	KLRK1	Natural killer cell mediated cytotoxicity	Not Directed
CD14	TLR4	Pathogenic Escherichia coli infection	Not Directed
C4BPA	C4A	Complement and coagulation cascades	Not Directed
GDF5	BMPR1A	Cytokine-cytokine receptor interaction	Not Directed
RhoA	PLD1	Fructose metabolism	Not Directed
mTOR	PP2A catalytic	CTP/UTP metabolism	Not Directed
IRF8	ISG15	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
KDR	PTK2	VEGF signaling pathway	Not Directed
SERPIND1	F2	Complement and coagulation cascades	Not Directed
PDPK1	AKT3	Prostate cancer	Not Directed
PTPN6	CTLA4	T cell receptor signaling pathway	Not Directed
Adenosine	Adenosine A2b receptor	"A2BR signaling via G-protein beta/gamma dimer. Activation of PI3K, PLCB and PLA2"	Not Directed
Collagen V	Insulin	Role of PBX in fibroblasts signaling pathways	Not Directed
SERPINC1	F11	Complement and coagulation cascades	Not Directed
CDK4	RB1	Glioma	Not Directed
LYN	MS4A2	Fc epsilon RI signaling pathway	Not Directed
MOS	MAP2K2	MAPK signaling pathway	Not Directed
LYN	CD79A	B cell receptor signaling pathway	Not Directed
PKC-zeta	IRS-2	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
HTR2A	GNA11	Gap junction	Not Directed
ITGB1	ITGA9	ECM-receptor interaction	Not Directed
RalB	RalBP1	Tryptophan metabolism	Not Directed
RAF1	MAP2K1	Fc epsilon RI signaling pathway	Not Directed
DDIT4	TSC2	mTOR signaling pathway	Not Directed
ERK2 (MAPK1)	MKP-7	Erk Interactions: Activation and selected Erk targets	Not Directed
TRAF2	MAPK8	Adipocytokine signaling pathway	Not Directed
3-sulfo-beta-D-galactosyl-(1-4)*(glycolipid)	CD43	Polyamines metabolism	Not Directed
JAK1	Lck	Phospholipid metabolism I	Not Directed
Perforin	Perforin	Phospholipid metabolism III	Not Directed
IRAK1	IRAK4	Toll-like receptor signaling pathway	Not Directed
PRKAG2	PCK1	Adipocytokine signaling pathway	Not Directed
SOCS4	IL22RA2	Jak-STAT signaling pathway	Not Directed
MAP3K14	IKBKG	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
VASP	ITGB1	Focal adhesion	Not Directed
GRB2	SOS1	Focal adhesion	Not Directed
TRAF2	LMP1 (HHV4)	Glycolysis and gluconeogenesis	Not Directed
TNFRSF1A	TRAF2	Apoptosis	Not Directed
IGF1	IGF1R	Long-term depression	Not Directed
GRB2	PDGFRA	MAPK signaling pathway	Not Directed
MAPK1	ELK1	Insulin signaling pathway	Not Directed
BRAF	MAP2K2	MAPK signaling pathway	Not Directed
TSLP	IL7R	Cytokine-cytokine receptor interaction	Not Directed
EFNB1	RGS3	Axon guidance	Not Directed
CAP2	Adenylate cyclase	Role of adenylate cyclase in cytoskeleton regulation	Not Directed
ORC4L	MCM4	Cell cycle	Not Directed
ORC4L	MCM5	Cell cycle	Not Directed
IFT57	HIP1	Huntington's disease	Not Directed
CREB1	EGR1	Erk Interactions: Activation and selected Erk targets	Not Directed
SEC22B	GOSR2	SNARE interactions in vesicular transport	Not Directed
IL4	IL13RA1	Cytokine-cytokine receptor interaction	Not Directed
ERBB3	SHC2	ErbB signaling pathway	Not Directed
ROCK1	MYL6	Focal adhesion	Not Directed
IL6	IL6ST	Cytokine-cytokine receptor interaction	Not Directed
NFKB1	BIRC2	Apoptosis	Not Directed
LCP2	GRB2	Natural killer cell mediated cytotoxicity	Not Directed
PRKACA	RAP1A	MAPK signaling pathway	Not Directed
HLA-DMA	CD74	Antigen processing and presentation	Not Directed
JNK(MAPK8-10)	Tau (MAPT)	Galactose metabolism	Not Directed
MAP2K4	MAPK8IP3	MAPK signaling pathway	Not Directed
LAMC3	ITGA11	Focal adhesion	Not Directed
NCOR1	HD	Huntington's disease	Not Directed
FGF1	FGFR1	Role of PBX in fibroblasts signaling pathways	Not Directed
EGFR	IRS-1	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
NSF	SNAP-25	Gamma-aminobutyrate (GABA) metabolism	Not Directed
VTI1B	STX6	SNARE interactions in vesicular transport	Not Directed
CDC6	ORC3L	Cell cycle	Not Directed
ASK1 (MAP3K5)	MEK3(MAP2K3)	p38-MAPK cascade activation via IGF1R and EGFR	Not Directed
AKT3	MAP3K5	MAPK signaling pathway	Not Directed
BCL10	CHUK	B cell receptor signaling pathway	Not Directed
TGFA	ERBB2	Pancreatic cancer	Not Directed
p53	IBP3	Fatty acid oxidation II	Not Directed
CARM1	NCOA1 (SRC1)	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
PBX1/PREP1	PF4	Role of PBX in fibroblasts signaling pathways	Not Directed
IL2RB	IL2RA	Cytokine-cytokine receptor interaction	Not Directed
SMAD4	SMAD2	Cell cycle	Not Directed
SMAD2	SP1	TGF-beta signaling pathway	Not Directed
VAV3	RAC1	Regulation of actin cytoskeleton	Not Directed
ACTH	MC3R	Gs-a Specific GPCRs  (in brain)	Not Directed
RRAS2	MOS	MAPK signaling pathway	Not Directed
FasR(CD95)	FADD	Arginine metabolism	Not Directed
Caspase-3	MEKK1(MAP3K1)	Gamma-aminobutyrate (GABA) metabolism	Not Directed
NFKB1	CXCL11	Toll-like receptor signaling pathway	Not Directed
GRIA1	LYN	Long-term depression	Not Directed
GGTase-I	RalA	Aminosugars metabolism	Not Directed
ERBB3	ERBB3	ErbB signaling pathway	Not Directed
COL1A1	GP6	ECM-receptor interaction	Not Directed
ERBB4	STAT5A	ErbB signaling pathway	Not Directed
IL2RG	IL21R	Cytokine-cytokine receptor interaction	Not Directed
CCND1	RB1	Non-small cell lung cancer	Not Directed
GNAO1	DVL1	Melanogenesis	Not Directed
CTNNA1	ACTN4	Adherens junction	Not Directed
MAPK1	PLA2G2D	MAPK signaling pathway	Not Directed
TRAF2	TRADD	Apoptosis	Not Directed
SRC	EGFR	GnRH signaling pathway	Not Directed
PTPRB	CTNNB1	Adherens junction	Not Directed
SOX17	LEF1	Wnt signaling pathway	Not Directed
SLIT1	ROBO2	Axon guidance	Not Directed
SOX3	PAX6	Aminosugars metabolism	Not Directed
PPARA	APOA5	PPAR signaling pathway	Not Directed
ARAF	MAP2K1	Pancreatic cancer	Not Directed
GP9	GP1BA	ECM-receptor interaction	Not Directed
ITGB1	ITGA4	Leukocyte transendothelial migration	Not Directed
CDK4	RB1	Cell cycle	Not Directed
HD	CLTA	Huntington's disease	Not Directed
AKR1C3	"NAD(P)H + 5beta-pregnan-3,20-dione = 5beta-20-hydroxy-pregnan-3-one + NAD(P)('+)"	Pregnenolone and progesterone biosynthesis and metabolism p.2	Not Directed
VAV-3	RhoA	Pleckstrin homology proteins interactions. Part II	Not Directed
CD28	GRB2	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
GNA11	PLCB1	Gap junction	Not Directed
AXIN1	GSK3B	Wnt signaling pathway	Not Directed
CALML6	HRAS	Long-term potentiation	Not Directed
NCK1	WASP	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
MAP2K4	MAPK8	Toll-like receptor signaling pathway	Not Directed
PAX6	INS	Maturity onset diabetes of the young	Not Directed
p300	STAT3	Aspartate and asparagine metabolism	Not Directed
Granzyme B	Caspase-10	Caspases cascade activation by granzyme and other signaling proteins	Not Directed
26S proteasome (20S core)	p27KIP1	CoA biosynthesis	Not Directed
PML	SPI1	Acute myeloid leukemia	Not Directed
ITGAV	ITGB6	ECM-receptor interaction	Not Directed
RXRA	CYP4A11	PPAR signaling pathway	Not Directed
Beta-catenin	Lef-1	Aspartate and asparagine metabolism	Not Directed
ACVR1C	SMAD2	Pancreatic cancer	Not Directed
FAK1	c-Src	Focal adhesion complex formation: WASF-proteins and activation of RAP GTP-ase	Not Directed
VIP	VIP receptor 1	Gs-a Specific GPCRs  (in brain)	Not Directed
SHC2	GRB2	Glioma	Not Directed
WNT	Galpha(q)-specific frizzled GPCRs	G12a specific GPCRs (in brain)	Not Directed
ICAM1	alpha-L/beta-2 integrin	Aspartate and asparagine metabolism	Not Directed
CXCL10	CXCR3	Cytokine-cytokine receptor interaction	Not Directed
TICAM2	TICAM1	Toll-like receptor signaling pathway	Not Directed
NEUROG3	PAX6	Maturity onset diabetes of the young	Not Directed
NFYA	CD74	Antigen processing and presentation	Not Directed
VCL	440915	Focal adhesion	Not Directed
TNC	SDC1	ECM-receptor interaction	Not Directed
FRAP1	RPS6KB1	Acute myeloid leukemia	Not Directed
SOCS1	INSR	Insulin signaling pathway	Not Directed
IRS1	PIK3R5	Type II diabetes mellitus	Not Directed
Pyk2(FAK2)	PAK1	Phospholipid metabolism I	Not Directed
PBX1	PF4	Role of PBX in fibroblasts signaling pathways	Not Directed
RhoA	PIP5KI	dGTP/GTP/XTP metabolism	Not Directed
Caspase-7	MEKK1(MAP3K1)	Prostaglandin 2 biosynthesis and metabolism	Not Directed
CTNNA1	MLLT4	Adherens junction	Not Directed
IL1R1	FADD	Apoptosis	Not Directed
IL1A	IL1R1	Apoptosis	Not Directed
PAK1	Arp2/3	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
PDPK1	AKT3	Focal adhesion	Not Directed
RAC1	BAIAP2	Adherens junction	Not Directed
NFKB1	CD86	Toll-like receptor signaling pathway	Not Directed
CCL15	CCR3	Cytokine-cytokine receptor interaction	Not Directed
PDPK1	AKT3	Endometrial cancer	Not Directed
MAP3K14	IKBKB	T cell receptor signaling pathway	Not Directed
SHH	PTCH1	Basal cell carcinoma	Not Directed
GRLF1	RHOA	Regulation of actin cytoskeleton	Not Directed
CCND1	RB1	Pancreatic cancer	Not Directed
"PtdIns(3,4,5)P3"	APPL	Pleckstrin homology proteins interactions. Part I	Not Directed
PIK3R5	AKT3	Colorectal cancer	Not Directed
CDC42	PAK1	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
LAT	VAV-1	Role of CD28 signaling in cytoskeleton reorganization	Not Directed
JAM2	JAM2	Cell adhesion molecules (CAMs)	Not Directed
EGF	EGFR	Prostate cancer	Not Directed
CD19	PIK3R5	B cell receptor signaling pathway	Not Directed
SYK	FCER1G	Fc epsilon RI signaling pathway	Not Directed
14-3-3 tau	mTOR	"Alanine, serine, cysteine, threonine and glycine metabolism"	Not Directed
MKNK2	ATF4	MAPK signaling pathway	Not Directed
IL2RG	IL2RA	Cytokine-cytokine receptor interaction	Not Directed
MAP3K7IP2	MAP2K3	Toll-like receptor signaling pathway	Not Directed
Caspase-3	ACTA2	Cholesterol metabolism III. Biosynthesis of bile acid	Not Directed
VASP	440915	Focal adhesion	Not Directed
PLXNB2	RAC1	Axon guidance	Not Directed
RUNX1	SPI1	Acute myeloid leukemia	Not Directed
MAP3K7	CHUK	Toll-like receptor signaling pathway	Not Directed
"PtdIns(3,4,5)P3"	PIKE(CENTG1)	Pleckstrin homology proteins interactions. Part III	Not Directed
THBS1	ITGB1	ECM-receptor interaction	Not Directed
BDNF	NTRK1	MAPK signaling pathway	Not Directed
CREBBP	MAML3	Notch signaling pathway	Not Directed
MAP4K1	MAP3K10	MAPK signaling pathway	Not Directed
PPARA	CPT2	PPAR signaling pathway	Not Directed
VWF	ITGB3	ECM-receptor interaction	Not Directed
CTNNA1	TJP1	Adherens junction	Not Directed
PROS1	F5	Complement and coagulation cascades	Not Directed
RPS6KA6	TSC2	mTOR signaling pathway	Not Directed
CSNK1A1L	GLI1	Hedgehog signaling pathway	Not Directed
BAIAP2	ATN1	Dentatorubropallidoluysian atrophy (DRPLA)	Not Directed
KNG1	F12	Complement and coagulation cascades	Not Directed
Erk (MAPK1/3)	p90RSK4(RPS6KA6)	Erk Interactions: Activation and selected Erk targets	Not Directed
TSC1	RHEB	Insulin signaling pathway	Not Directed
gp130	IL-6 receptor	"Histidine, proline, glutamate and glutamine metabolism"	Not Directed
UBE1	UBE2J2	Parkinson's disease	Not Directed
VAMP4	VTI1B	SNARE interactions in vesicular transport	Not Directed
STAT3	PPARGC1A	Adipocytokine signaling pathway	Not Directed
FARP2	CDC42	Adherens junction	Not Directed
TGFB1	TGFBR2	Colorectal cancer	Not Directed
CREBBP	ATF4	Long-term potentiation	Not Directed
AKT3	BAD	Endometrial cancer	Not Directed
SMAD4	SMAD1	TGF-beta signaling pathway	Not Directed
BCL10	IKBKB	T cell receptor signaling pathway	Not Directed
CCNE1	CDK2	Small cell lung cancer	Not Directed
EPHA2	ABL1	Axon guidance	Not Directed
G-protein alpha-q/11	G-protein beta/gamma	A2BR signaling via G-beta/gamma dimer.  Activation of PH-domain proteins. (map 2)	Not Directed
PSENEN	NOTCH1	Notch signaling pathway	Not Directed
MALT1	IKBKG	B cell receptor signaling pathway	Not Directed
JAK2	STAT1	A2BR signaling via G-alpha-q: Inhibition of TKR-specific PI3K activation (map 1a)	Not Directed
CDC25A	CDK2	Cell cycle	Not Directed
ICOSLG	ICOS	Cell adhesion molecules (CAMs)	Not Directed
NUMB	NOTCH1	Notch signaling pathway	Not Directed
E-cadherin	EGFR	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
RXRA	SCD	PPAR signaling pathway	Not Directed
KLRC1	PTPN6	Natural killer cell mediated cytotoxicity	Not Directed
Sertindole	Kv11.1	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
MAP3K7	NLK	Wnt signaling pathway	Not Directed
PTK2	DOCK1	Regulation of actin cytoskeleton	Not Directed
C3	C3AR1	Complement and coagulation cascades	Not Directed
PTPRF	SHC2	Insulin signaling pathway	Not Directed
CARD11	IKBKB	T cell receptor signaling pathway	Not Directed
HDAC1	KCNJ5	Notch signaling pathway	Not Directed
PHKA1	CALML6	Calcium signaling pathway	Not Directed
AKT3	CHUK	Chronic myeloid leukemia	Not Directed
ADIPOR1	PPARA	Adipocytokine signaling pathway	Not Directed
MAP2K2	MAPK1	MAPK signaling pathway	Not Directed
MAX	MYC	Small cell lung cancer	Not Directed
CALDAG-GEFI	RAP-1A	Pleckstrin homology proteins interactions. Part III	Not Directed
PVRL2	PVRL3	Cell adhesion molecules (CAMs)	Not Directed
SOD1	SLC1A2	Amyotrophic lateral sclerosis (ALS)	Not Directed
PVRL3	SRC	Adherens junction	Not Directed
ITGB1	ITGA1	ECM-receptor interaction	Not Directed
IFNA1	IFNAR2	Cytokine-cytokine receptor interaction	Not Directed
KIF1A	Synaptotagmin	ATP metabolism	Not Directed
CDKN2A	MDM2	Cell cycle	Not Directed
MAFA	PDX1	Maturity onset diabetes of the young	Not Directed
VAMP1	STX2	SNARE interactions in vesicular transport	Not Directed
TLN1	ITGA11	Focal adhesion	Not Directed
RXRA	FADS2	PPAR signaling pathway	Not Directed
MOCA	Rac1	Pregnenolone and progesterone biosynthesis and metabolism p.1	Not Directed
PRKACA	GLI1	Hedgehog signaling pathway	Not Directed
PRKCQ	CARD11	T cell receptor signaling pathway	Not Directed
MALT1	IKBKB	T cell receptor signaling pathway	Not Directed
RAC1	MAP2K7	Fc epsilon RI signaling pathway	Not Directed
TGFB1	TGFBR2	Cytokine-cytokine receptor interaction	Not Directed
IL22	IL22RA1	Cytokine-cytokine receptor interaction	Not Directed
RAPGEF1	RHOQ	Insulin signaling pathway	Not Directed
HBEGF	EGFR	Epithelial cell signaling in Helicobacter pylori infection	Not Directed
LBC	PPAR-alpha	Pleckstrin homology proteins interactions. Part I	Not Directed
SOS1	GRB2	MAPK signaling pathway	Not Directed
PRKACA	PDC	Olfactory transduction	Not Directed
CCL7	CCR2	Cytokine-cytokine receptor interaction	Not Directed
PP2A catalytic	BAD	Erk Interactions: Activation and selected Erk targets	Not Directed
MAD3	Max	Aminosugars metabolism	Not Directed
CD274	PDCD1	Cell adhesion molecules (CAMs)	Not Directed
TNC	ITGA9	ECM-receptor interaction	Not Directed
HLA-C	KIR2DS1	Natural killer cell mediated cytotoxicity	Not Directed
VCAM1	ITGB7	Cell adhesion molecules (CAMs)	Not Directed
CCL21	CCR7	Cytokine-cytokine receptor interaction	Not Directed
TAK1(MAP3K7)	IKK-beta	Erk Interactions: Activation and selected Erk targets	Not Directed
RalB	RalBP1	NAD metabolism	Not Directed
PER1	PER1	Circadian rhythm	Not Directed
MAPK1	ROCK1	Regulation of actin cytoskeleton	Not Directed
PPARA	ME1	PPAR signaling pathway	Not Directed
CCL26	CCR3	Cytokine-cytokine receptor interaction	Not Directed
SERPINE1	PLAT	Complement and coagulation cascades	Not Directed
PROS1	PROC	Complement and coagulation cascades	Not Directed
IL1R1	TRADD	Apoptosis	Not Directed
TGFBR2	PPP2CA	TGF-beta signaling pathway	Not Directed
DVL1	VANGL2	Wnt signaling pathway	Not Directed
PP2A catalytic	Erk (MAPK1/3)	Fatty acid oxidation II	Not Directed
MAD2L2	MAD1L1	Cell cycle	Not Directed
SMAD2	PITX2	TGF-beta signaling pathway	Not Directed
RAC1	PAK1	MAPK signaling pathway	Not Directed
p70 S6 kinase1	p70 S6 kinase1	dCTP/dUTP metabolism	Not Directed
Aspirin cytosol	COX-2 (PTGS2)	Aspartate and asparagine metabolism	Not Directed
SH3BP2	PLCG1	Natural killer cell mediated cytotoxicity	Not Directed
ZAP70	LAT	T cell receptor signaling pathway	Not Directed
440915	CFL1	Regulation of actin cytoskeleton	Not Directed
c-Myc	TFIIIB	Serotonin metabolism	Not Directed
MALT1	CARD11	B cell receptor signaling pathway	Not Directed
RBPJL	SNW1	Notch signaling pathway	Not Directed
ROCK1	PPP1R12A	Focal adhesion	Not Directed
THY1	ITGB2	Leukocyte transendothelial migration	Not Directed
TJP1	TJP2	Tight junction	Not Directed
